0.8602415458937198
class4,p
nonevent,0.4321594843286153
nonevent,0.5453114559698063
Ib,0.7023780600417919
nonevent,0.6598649921883255
II,0.7640359387504663
nonevent,0.38699340417952777
Ib,0.8702764561398768
nonevent,0.4034013428048627
Ib,0.7526954308163287
Ib,0.7108902760084643
II,0.7135712975476944
II,0.6333013888386912
nonevent,0.21292372972779494
nonevent,0.6040279756010165
Ib,0.745230752082417
II,0.8631532203618602
nonevent,0.4190071234066517
II,0.6764157166053283
Ib,0.8160571367033531
nonevent,0.3374725481862517
nonevent,0.6962631514889763
II,0.8154926150508481
nonevent,0.4591564461942996
Ib,0.8647555615475364
Ib,0.7934659233754887
nonevent,0.4856578208660127
Ib,0.8036116687267197
Ib,0.8301810546737095
nonevent,0.5005775766901776
nonevent,0.7422715753723588
nonevent,0.4390311139481379
nonevent,0.4229510214003329
nonevent,0.47948704119101493
II,0.7574235079145184
Ib,0.8504335069503168
II,0.8264615446403021
nonevent,0.47746951283827466
Ib,0.8369049700958835
Ib,0.7010378545128815
Ib,0.8401000720652271
nonevent,0.46784158886404964
II,0.7782743920312711
Ib,0.8674357469679532
nonevent,0.531140262431936
nonevent,0.48237260883099187
nonevent,0.2456799492704463
nonevent,0.4680491663864247
II,0.5280512121880478
Ib,0.8672919385670357
Ib,0.8406293625067474
Ib,0.8198366105877006
nonevent,0.37639455760613594
nonevent,0.5278158742423047
nonevent,0.49143889987994693
nonevent,0.6021021093149936
nonevent,0.7236319549754536
nonevent,0.3583211635916638
Ib,0.8476985739570937
II,0.7205608917932926
Ib,0.8281137223827288
Ib,0.6088105289001591
nonevent,0.6623198718890999
nonevent,0.6844378498536066
II,0.5230171349957851
nonevent,0.6204383678937387
Ib,0.7142482347179767
Ib,0.813321501529765
nonevent,0.5117805768140923
nonevent,0.6321806269410837
nonevent,0.484686399313181
nonevent,0.3863552455354518
nonevent,0.24989020606884726
nonevent,0.4855259039214552
Ib,0.8710065666289837
nonevent,0.5365009203064597
II,0.8478562095478481
II,0.8667972618120058
Ib,0.8406841871177941
II,0.8528451020943004
Ib,0.7603790328543103
Ib,0.7681051753601832
II,0.542263071557405
Ib,0.5134818654595537
II,0.5546859858395512
Ib,0.7498915013555021
nonevent,0.7399154422541717
Ib,0.8052799526346808
nonevent,0.2792719153063822
Ib,0.8554623949593878
nonevent,0.4679937540504206
II,0.5126913687818442
nonevent,0.6060653734441492
II,0.8163867134874953
II,0.8334850760592651
nonevent,0.37262600193930084
nonevent,0.46014899663827125
Ib,0.8296530606007146
Ib,0.5935258887500509
nonevent,0.3898208551014647
nonevent,0.4739215466469772
Ib,0.7248710410235657
Ib,0.8497599261323121
nonevent,0.3809815878881504
nonevent,0.5040927142641962
nonevent,0.4904079302864568
Ib,0.8394886388217155
II,0.8325480756762342
nonevent,0.5970100092810741
Ib,0.788348263196783
Ib,0.8318980279473689
nonevent,0.5265689521216523
nonevent,0.39618211555849225
Ib,0.7726324878977302
nonevent,0.5025441761463421
nonevent,0.6108362103239097
Ib,0.8697586561178328
Ib,0.822936520097725
nonevent,0.3883770595010884
Ib,0.8221932014232146
Ib,0.8652804159671846
nonevent,0.6554323841794192
nonevent,0.6157691824563796
II,0.4934281204023233
Ib,0.830614600550974
nonevent,0.7696263750350593
Ib,0.7826233551931999
nonevent,0.4319683197188861
Ib,0.8138853872429678
Ib,0.6564893881006695
nonevent,0.3299083762523517
nonevent,0.6358513473856735
nonevent,0.5109174821108784
nonevent,0.19413156283423139
nonevent,0.4148497239239882
nonevent,0.6940442356659549
nonevent,0.2715261371768677
nonevent,0.47869329114109216
Ib,0.8695572308135082
II,0.6346592944372793
Ib,0.8452379369057347
Ib,0.8324431422618963
nonevent,0.6287196853581493
nonevent,0.645719032868736
II,0.7257568588904824
Ib,0.8494737290319745
Ib,0.8818732947936159
nonevent,0.4960683782739662
nonevent,0.3280649829050154
nonevent,0.5722074036827915
Ib,0.8691829215388401
nonevent,0.4674128310261856
nonevent,0.5304735343481582
Ib,0.8230827012751205
II,0.8559416213584642
nonevent,0.7498051611285208
II,0.8163395693101467
nonevent,0.7240518115046594
nonevent,0.48510524303120667
nonevent,0.3390244879050558
nonevent,0.2513158047425933
Ib,0.7251777231976072
II,0.48936062043130907
II,0.7726863038051652
Ib,0.7448639735397348
Ib,0.8247307770454253
nonevent,0.4642705165097108
Ib,0.6311766274511457
nonevent,0.7367081958494005
II,0.5429871949574354
nonevent,0.6312988633987552
Ib,0.6967484049261581
nonevent,0.4860694580392402
nonevent,0.43295917520457217
Ib,0.8411642906008107
nonevent,0.5509237432713593
II,0.7339123290641429
Ib,0.8295428693661842
nonevent,0.5729500293896309
nonevent,0.6940835754389516
nonevent,0.6547122138568084
Ib,0.8522106080215133
Ib,0.8555818059449841
nonevent,0.5123728616627855
Ib,0.8504923126482361
nonevent,0.3812370841961921
nonevent,0.39410492256326546
nonevent,0.3802058594789032
Ib,0.8443690680381473
Ib,0.8060306849359273
nonevent,0.6545003553255263
Ib,0.8132511842538602
nonevent,0.6486165748923545
Ib,0.7616643892391377
Ib,0.6732980004311786
nonevent,0.3614274128983557
nonevent,0.5512076671728374
nonevent,0.41683141682390945
Ib,0.8022964859482407
nonevent,0.39412423106650446
nonevent,0.3000258074626039
nonevent,0.5091536704830752
nonevent,0.5730224213904966
Ib,0.8556563358747722
II,0.726644056308092
nonevent,0.5927625827966401
nonevent,0.6165030334857258
II,0.8205437778718209
Ib,0.8656663724212721
Ib,0.8567764712442993
nonevent,0.6635985983445796
Ib,0.8415012824395179
nonevent,0.6110879822136455
nonevent,0.34998615720310516
II,0.8200694324350862
II,0.813868004621118
Ib,0.8354500432907896
II,0.5302006280492633
Ib,0.8524056765229069
nonevent,0.6760961749801419
II,0.7204884206988835
nonevent,0.5250687173375365
nonevent,0.3639154967293246
nonevent,0.6771881810603796
nonevent,0.35306396628425996
nonevent,0.2928334242531145
nonevent,0.5762664378802174
nonevent,0.5022661783708047
nonevent,0.45673547037597817
nonevent,0.41085411748720213
II,0.6282881107726235
nonevent,0.28896853583537985
nonevent,0.25828012901158365
nonevent,0.4197568345450135
Ib,0.822456538505367
II,0.8553977521091711
nonevent,0.532041385322384
nonevent,0.396471944665195
Ib,0.7635038383540027
Ib,0.6002620985347302
nonevent,0.28489235543125724
Ib,0.8586340845858651
Ib,0.8657776797998391
II,0.6295224889209878
nonevent,0.47888607844912395
Ib,0.7794253057563145
II,0.842308318119326
nonevent,0.6522295570279693
Ib,0.641583012470188
Ib,0.7446186575281372
nonevent,0.404266092543065
nonevent,0.7793920976240704
Ib,0.8641840363420317
nonevent,0.5703908930509176
nonevent,0.36694852686697466
II,0.8008518903037148
II,0.8369864763074684
nonevent,0.5582964622150952
nonevent,0.67086868016511
nonevent,0.5860836931510307
II,0.7509625881888676
II,0.856781647323801
Ib,0.8252582577766543
Ib,0.7389181579366766
nonevent,0.506104980904326
Ib,0.8397336683515687
II,0.6810155002312122
II,0.7253382947828093
II,0.812448218005244
nonevent,0.5543956770626304
nonevent,0.5324646197735119
nonevent,0.5192343139624239
Ib,0.8235278153643035
Ib,0.833841119143308
Ib,0.8675808494361654
Ib,0.8339681438931468
Ib,0.8348482658547093
nonevent,0.549706049384256
nonevent,0.18263951324232974
nonevent,0.4188176271657131
II,0.589953113631339
II,0.8388360683694787
nonevent,0.6582718925110705
II,0.841449004866557
nonevent,0.5550406319287012
nonevent,0.14897592484315472
nonevent,0.5696211195022237
nonevent,0.4285594696144824
II,0.8511706150147532
nonevent,0.6055901217272187
nonevent,0.4793829050822854
II,0.5687540511215772
Ib,0.8719982409252779
nonevent,0.6835870021808164
nonevent,0.6364533909562332
Ib,0.8123608136194045
nonevent,0.17039511804232077
nonevent,0.5288532318326525
nonevent,0.44151142429696744
nonevent,0.40180417982678684
nonevent,0.3850871715355365
Ib,0.8650011780639202
II,0.717804208599518
Ib,0.6083530261425654
Ib,0.8390013232206551
Ib,0.6275436245501407
Ib,0.850878317768111
nonevent,0.268769851031584
Ib,0.7031925707942139
Ib,0.8082223509506359
Ib,0.8617039778806717
Ib,0.8346808014203408
nonevent,0.35110094411109727
Ib,0.774564942498579
nonevent,0.501905785100141
nonevent,0.4283720471749969
II,0.6960864192152569
nonevent,0.8024927222321704
Ib,0.7314417086799616
nonevent,0.4221465967826445
nonevent,0.4723167154540792
nonevent,0.4270567311594289
Ib,0.590386684894896
Ib,0.7768196544931666
nonevent,0.5808058512673977
nonevent,0.5956107677636233
Ib,0.819949397638428
II,0.640141057995697
Ib,0.8726271300270428
Ib,0.7274520253381335
nonevent,0.7034471783729892
nonevent,0.41487853316635626
II,0.8222336875376871
nonevent,0.5719267659929492
Ib,0.7739971052955172
nonevent,0.47625856359806573
nonevent,0.7611681140651735
nonevent,0.6027770617078934
II,0.7645661802015875
Ib,0.8256582901507552
nonevent,0.21321717257138753
II,0.9076008205208685
nonevent,0.7688779379046845
nonevent,0.5572901056987553
II,0.7749413087613788
Ib,0.803147451080236
nonevent,0.6070266490283232
Ib,0.7637548090163561
Ib,0.6047656810901505
Ib,0.84204397088548
nonevent,0.45855283738289604
Ib,0.8289165690548193
nonevent,0.2424050322974663
Ib,0.8370766399577728
nonevent,0.6138444363176012
Ib,0.7563407460139182
Ib,0.783976705260114
Ib,0.8228519662043896
II,0.7342449925948491
Ib,0.8040209492839294
nonevent,0.44779455885304853
nonevent,0.7087711719197389
Ib,0.8035730640293881
nonevent,0.47903006585355
Ib,0.7673426339927496
Ib,0.7989385973010392
nonevent,0.4425515106353953
nonevent,0.3393446353604377
Ib,0.8356946537478445
Ib,0.8392799932860739
nonevent,0.7205937161788216
nonevent,0.4289329694511312
nonevent,0.7018103991682529
nonevent,0.507160315711446
nonevent,0.605735971216977
nonevent,0.25874075498937893
Ib,0.8557895865272602
II,0.8051736846864012
Ib,0.8106248872253545
nonevent,0.23385835819031248
nonevent,0.6306960039094474
nonevent,0.40978705337826205
nonevent,0.22057371951861843
nonevent,0.6571630980314225
II,0.6556558196939081
nonevent,0.5252896585132798
nonevent,0.36154317671308017
II,0.8094911621548564
Ib,0.8715650310064584
nonevent,0.6585584263190469
Ib,0.7748631635731861
Ib,0.7234084032272108
II,0.6356175613182036
Ib,0.7982470824447063
Ib,0.8748730537062722
Ib,0.6259504906001969
Ib,0.8360548420136031
Ib,0.8479135482225906
Ib,0.789051279703695
nonevent,0.4183836977552466
Ib,0.5917983030681153
nonevent,0.18876135457596935
Ib,0.769122854383326
nonevent,0.6069905578847308
nonevent,0.20187614033260795
nonevent,0.4377034817805687
nonevent,0.7157422026513415
Ib,0.7939361637822184
Ib,0.8362598210962596
II,0.6516283829047567
Ib,0.5579463722176977
nonevent,0.6626091853230178
nonevent,0.5853829987471277
nonevent,0.5896931550382696
II,0.6123839167616689
nonevent,0.495780921411209
nonevent,0.2930716631948841
Ib,0.6590860043052865
nonevent,0.35160867359364933
nonevent,0.39019620724855747
nonevent,0.3956801746092181
nonevent,0.5882040353950662
nonevent,0.29890962851700986
nonevent,0.45794388011990594
II,0.7203841826062676
II,0.7801342087379858
II,0.5912873941012241
nonevent,0.25569236498232517
nonevent,0.5355040171953042
Ia,0.853408610266824
nonevent,0.46695373029403503
II,0.7033472443768556
nonevent,0.6323183790547394
nonevent,0.5123950597747012
nonevent,0.4826169429076108
nonevent,0.46598868020491263
nonevent,0.425972752775042
Ib,0.7745921544411303
Ib,0.7628722983116173
Ib,0.788897734182579
Ib,0.8693678827433406
II,0.47709572557151325
Ib,0.7118657030831075
nonevent,0.6580386652393304
Ib,0.8815674241057148
nonevent,0.4985748914429978
Ib,0.8135394566901949
nonevent,0.5439053631176204
II,0.7416271269494817
nonevent,0.470352591655121
nonevent,0.4551325157864816
Ib,0.7695168631071574
Ib,0.8040201747735951
Ib,0.8610074066110966
Ib,0.7783569279895004
Ib,0.7242406335104646
Ib,0.7524060862459521
Ib,0.8714133783490091
II,0.5637471465333941
nonevent,0.32968561381548306
Ib,0.818883156439239
nonevent,0.48520203122143796
nonevent,0.4416972235455849
Ib,0.7397775735139983
II,0.7249440157663494
Ib,0.8532199904031585
nonevent,0.33120422865053667
Ib,0.8312439838519536
nonevent,0.696366659605059
nonevent,0.5091504268763699
nonevent,0.30721107145281357
nonevent,0.46825070975466093
nonevent,0.23629067794614633
nonevent,0.4245806417496422
Ib,0.8405177630132911
II,0.8106390739780722
Ib,0.7049370650631581
Ib,0.8612373951267085
nonevent,0.22367301881225296
Ib,0.8531226308106905
nonevent,0.4504042313307516
nonevent,0.2836833158457458
nonevent,0.626556764985361
nonevent,0.4035395995002974
Ib,0.7237973756726095
Ib,0.7241803450508566
nonevent,0.42850565715919603
nonevent,0.4330727882152037
nonevent,0.5899135668024605
Ib,0.7368890368362491
Ib,0.832143165789262
nonevent,0.1650689725801409
Ib,0.8703230276164775
nonevent,0.7162955530357586
nonevent,0.5817640709961642
nonevent,0.6598224642476873
Ib,0.544678426053854
nonevent,0.49022723642985794
nonevent,0.45113640956051215
nonevent,0.251296011099692
nonevent,0.6042663639115199
nonevent,0.29707403839963065
nonevent,0.6733328868784966
Ib,0.7333464657800562
nonevent,0.5093097485891356
Ib,0.853622293958467
nonevent,0.5538718247685102
Ib,0.7532506130787863
Ib,0.7886478260363345
nonevent,0.5704672898528556
nonevent,0.45542311660845425
Ib,0.8373860834154668
nonevent,0.5580928836766914
nonevent,0.5766564733221254
nonevent,0.32915723817226195
Ib,0.8623960926114436
Ib,0.8125443742264914
Ib,0.8392934236495129
nonevent,0.46975472632698384
nonevent,0.33844877682251473
nonevent,0.45411020246098943
Ib,0.8538569492615755
Ib,0.8299439847702672
Ib,0.8095682154871777
II,0.6216646809342181
II,0.5412597255246643
II,0.8417783359962432
nonevent,0.3947471968580383
nonevent,0.6010736242510268
Ib,0.7676660846176382
II,0.6158708972252425
nonevent,0.5353387251875528
Ib,0.8471164352775117
II,0.7130189706277015
II,0.8777942975731952
II,0.7970033342187377
nonevent,0.23344393012520215
Ib,0.7280667352465343
II,0.8018535726573871
Ib,0.7235930548809228
II,0.662651623418427
Ia,0.7209399065417579
Ib,0.8185104361232094
Ib,0.8537933314312052
II,0.49067875392636684
Ib,0.830305010860909
Ib,0.6423129356159215
Ib,0.792967669179413
II,0.8732700354890608
nonevent,0.2349567748796766
Ib,0.8294962183381068
Ib,0.8149229565648427
nonevent,0.1739431978063919
Ib,0.8223832368298831
Ib,0.8528340793420706
Ib,0.7212426395955926
nonevent,0.5009448093656879
Ib,0.8201034808715207
Ib,0.8667654926091117
nonevent,0.45330673046159387
II,0.7217861226951194
II,0.7245070696844318
Ib,0.826219863468514
Ib,0.8473982280091472
nonevent,0.15741014553913957
nonevent,0.6071833461543303
nonevent,0.7666504019358884
Ib,0.739449514658368
II,0.6853355068735834
II,0.6670977113450303
nonevent,0.6306550923203004
nonevent,0.3897711260513136
II,0.6489724343417964
Ib,0.8292638919841402
nonevent,0.45714830625769376
nonevent,0.3039507939038028
nonevent,0.48924495244350663
Ib,0.5649146735343414
II,0.456332130212748
Ib,0.7582787471894592
II,0.7712713125130355
nonevent,0.6523785490978592
Ib,0.873729847550528
Ib,0.8141714881271417
nonevent,0.5150930334517934
nonevent,0.4827680111102455
nonevent,0.27062122464216865
II,0.7120033202172313
Ib,0.8859991732688444
Ib,0.8332418533104609
II,0.7427658060991261
nonevent,0.588327251737891
II,0.7895463673173233
Ib,0.8741984990835586
II,0.7881983373847372
II,0.858379095101126
nonevent,0.6625799027356778
nonevent,0.3899022178164092
II,0.8526958494394934
Ib,0.7798203996878429
Ib,0.770414780612693
nonevent,0.6909754585429471
Ib,0.7416943050446159
Ib,0.8208181207396882
nonevent,0.5119815096040223
Ib,0.8417817933594884
nonevent,0.521533479364905
Ib,0.8550893468653437
II,0.8568177914568484
nonevent,0.264093143367565
nonevent,0.5660807279006292
Ib,0.8778390682365644
nonevent,0.7582863950004367
Ib,0.8239988864474473
Ib,0.8684640209919003
nonevent,0.6322584570064329
nonevent,0.5347235062818849
II,0.6538900345355246
Ib,0.8618827475570562
nonevent,0.578277460363313
nonevent,0.7145492019554269
nonevent,0.634043319245772
nonevent,0.49563135724809915
Ib,0.8534717281441839
Ib,0.855535256136231
II,0.8631982675693687
nonevent,0.7129604234418462
nonevent,0.39047211310213353
nonevent,0.5861929575699976
II,0.6134004083331261
nonevent,0.32235356079270383
nonevent,0.5460708196747928
Ib,0.8629848620240287
Ib,0.7001261854860414
Ib,0.7357352788874336
Ib,0.7607679441533153
nonevent,0.5569304518686453
nonevent,0.3842168986474236
nonevent,0.4401901558209454
II,0.8513436245598145
nonevent,0.3649200553719722
Ib,0.830098053290759
II,0.7510434728879563
Ib,0.7945074713198258
II,0.8426526786750759
nonevent,0.37392222927688434
nonevent,0.5703808350367051
Ib,0.7816216939150088
nonevent,0.41404183114049287
Ib,0.7558338006604897
nonevent,0.4622406132122215
nonevent,0.6254759970892287
II,0.7185169840733817
nonevent,0.5424309220051471
II,0.6834760942278788
nonevent,0.48158688111890335
nonevent,0.4244661983798787
nonevent,0.7009259030116366
Ib,0.842912732832929
nonevent,0.5831731937089759
Ib,0.779787388380351
nonevent,0.5378229259184371
nonevent,0.4281240470270462
nonevent,0.648718728124098
II,0.7977583067385885
nonevent,0.5652096832987854
nonevent,0.4245296743695952
Ib,0.8345770585861909
Ib,0.8669591452068832
nonevent,0.6650649153110925
nonevent,0.7121354507548852
nonevent,0.23492783035506745
nonevent,0.4567025457970996
nonevent,0.44945889813369516
Ib,0.8566503098891951
nonevent,0.5854891239666038
Ib,0.8201000859793502
Ib,0.8368037685070316
Ib,0.4371062872557171
nonevent,0.7402438892961424
nonevent,0.5005316002659905
nonevent,0.35711527540358967
nonevent,0.21425645698797544
nonevent,0.37158663435861033
Ib,0.8479811382647037
nonevent,0.3223555021740029
Ib,0.8503677324747586
Ib,0.7049721977855952
nonevent,0.11212281531652957
nonevent,0.5121216504090588
II,0.8345024259997859
nonevent,0.23615610165820344
nonevent,0.3522737627885545
nonevent,0.40548253811159307
Ib,0.8589655828841042
II,0.7512950324457399
Ib,0.8308318946412737
Ib,0.7545724451376953
Ib,0.7756108900564865
II,0.6964060575996659
nonevent,0.5039403326171145
II,0.7392349210750482
nonevent,0.6704764059059442
Ib,0.8329934670677958
Ib,0.8306994631776514
Ib,0.8629056833247015
Ib,0.8441174848914599
Ib,0.8519689562940752
Ib,0.7783158248909938
Ib,0.8438767547564334
Ib,0.7896220690262702
nonevent,0.30821063277681604
nonevent,0.5038313357094174
Ib,0.8854881168108139
nonevent,0.5706082213193092
nonevent,0.7582445235845232
Ib,0.7435918055513855
Ib,0.6061188863763327
nonevent,0.4328410450445865
nonevent,0.5550996353226061
II,0.8379047179802998
nonevent,0.19588308142924368
nonevent,0.4325286666566446
nonevent,0.48894428572212867
nonevent,0.6584445220325247
nonevent,0.35785420748402363
nonevent,0.4764284809369128
II,0.804681979651054
Ib,0.599305144512611
nonevent,0.6933895731682788
nonevent,0.49613588152207705
nonevent,0.6198452953377103
Ib,0.8600211563212894
nonevent,0.3317660870599515
II,0.7544584699085164
II,0.8073260750249179
nonevent,0.512368279377165
II,0.7349065002801776
Ib,0.7440019253492595
Ib,0.8078466335652494
Ib,0.8662189249664171
II,0.7622299098020519
nonevent,0.535445225452106
nonevent,0.43186671048177
nonevent,0.38158921666730083
Ib,0.8023044002448344
nonevent,0.6956380280878436
nonevent,0.4102229550598487
nonevent,0.3430814534305928
nonevent,0.38211833254645955
nonevent,0.42856608834093557
nonevent,0.1701716493190272
Ib,0.8419459298265198
nonevent,0.7432407698176944
Ib,0.6322493436754612
Ib,0.8654557476382989
Ib,0.8000026106757354
nonevent,0.6751453270952936
II,0.5994986782759737
II,0.6573412640263279
Ib,0.8576352698190456
Ib,0.6845341747374312
II,0.7794233660426404
Ib,0.4483383598289159
nonevent,0.5650547613226323
II,0.6924873529564949
nonevent,0.3591166662575526
II,0.8705434963609311
Ib,0.8735783037832721
Ib,0.8327136303093654
Ib,0.691094031108388
nonevent,0.23613428236698128
Ib,0.7389443117993282
nonevent,0.7048746493136104
nonevent,0.5334550912457516
nonevent,0.7532169374111086
nonevent,0.477686745129417
Ib,0.8600562871602246
II,0.5803403889306047
Ib,0.849472461871153
nonevent,0.5967058728906816
nonevent,0.41596251315961913
Ia,0.7281797843017801
Ib,0.5362491369727658
nonevent,0.7307638087388347
Ib,0.7897095471400954
II,0.7653811045348826
nonevent,0.5183068272968412
nonevent,0.6063034011468839
Ib,0.8416743627707826
nonevent,0.388839382932187
nonevent,0.680043886239412
nonevent,0.684639024034726
nonevent,0.5220691234323134
nonevent,0.3508584477141859
nonevent,0.4249945260952743
Ib,0.8590017761429632
nonevent,0.45293014778473295
nonevent,0.4169169261945363
nonevent,0.4692565117803661
II,0.7633224096703044
nonevent,0.6554634638093426
Ib,0.8412372495388343
nonevent,0.5608598707193965
II,0.7347431044507815
Ia,0.6668785360066084
Ib,0.5133471667414591
nonevent,0.3196609171715401
nonevent,0.20302974340059593
Ib,0.8478662082228423
nonevent,0.48314249195171366
Ib,0.8449652679227696
Ib,0.8505450092136164
II,0.5781788857435255
nonevent,0.3146360178685513
II,0.8288222814441835
nonevent,0.3785108425737836
nonevent,0.41008517571346526
nonevent,0.5158470434143919
nonevent,0.2747998699179451
nonevent,0.45064993803769327
Ib,0.8007083541140527
Ib,0.839961526586669
nonevent,0.5247917114802999
Ib,0.4773548032321725
II,0.6973052213049764
Ib,0.8448674410681712
II,0.8177267514094178
Ib,0.8206841836658407
II,0.5826526361018647
nonevent,0.6034468216273853
II,0.7382033099388896
nonevent,0.4812513485498946
Ib,0.82496602468945
Ib,0.8286113345254247
Ib,0.8598257139306031
Ib,0.8467165360654461
nonevent,0.41359677218406043
nonevent,0.5745028994124483
nonevent,0.46076238541159265
Ib,0.6587102841583949
Ib,0.8575589299979826
nonevent,0.39426667196315346
Ib,0.6121642902841965
nonevent,0.3489552827256321
II,0.8193495227105863
nonevent,0.5357367039701044
nonevent,0.5127597141865026
Ib,0.7333683865256585
II,0.6809635785371215
nonevent,0.6392123024159075
II,0.8398069055739144
nonevent,0.4922733043973091
Ib,0.8693548791415274
Ib,0.8019120434916875
II,0.785316710614679
nonevent,0.27280056471628866
nonevent,0.7009068286175932
nonevent,0.5245222110870034
II,0.6125932734017934
Ib,0.8523758065337352
Ib,0.7722629437878094
nonevent,0.45064292941869305
Ib,0.8204588749116244
Ib,0.718766023172335
Ib,0.5504665251721897
